Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Vardas1 Pavardė1 0 4 1 10 0 0 8 1 2 2 6 8 8 1 3 1
Vardas2 Pavardė2 10 4 8 5 1 4 4 6 10 9 10 10 9 10 9 3
Vardas3 Pavardė3 4 3 0 1 9 0 2 1 1 4 1 1 1 8 10 3
Vardas4 Pavardė4 8 1 3 1 4 7 3 1 3 4 9 3 3 3 6 3
Vardas5 Pavardė5 2 9 9 2 1 2 2 9 9 0 6 9 1 7 5 5
Vardas6 Pavardė6 7 0 10 5 10 2 0 7 7 6 3 4 3 6 10 9
Vardas7 Pavardė7 3 9 4 10 1 3 8 8 6 9 3 7 10 4 9 1
Vardas8 Pavardė8 7 3 6 8 10 6 0 1 10 10 2 0 9 4 1 9
Vardas9 Pavardė9 5 8 6 0 1 10 1 2 2 4 9 0 3 2 3 3
Vardas10 Pavardė10 9 8 4 5 9 5 7 2 8 5 0 9 8 9 10 7
