Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 Egz.
Vardas1 Pavardė1 3 1 3 2 1 3 6 2 6 0 6 7 0 0 6
Vardas2 Pavardė2 8 0 9 5 2 7 8 2 7 0 0 2 10 4 2
Vardas3 Pavardė3 4 10 6 9 6 2 4 6 4 6 9 2 4 3 8
Vardas4 Pavardė4 2 10 7 5 3 7 9 3 4 6 4 0 7 2 4
Vardas5 Pavardė5 3 1 6 4 8 1 1 2 5 9 4 0 8 8 0
Vardas6 Pavardė6 9 1 0 2 2 5 10 0 7 7 4 9 3 4 2
Vardas7 Pavardė7 4 6 9 10 7 0 1 7 2 4 1 6 8 0 4
Vardas8 Pavardė8 10 2 8 5 7 2 3 9 6 0 8 4 7 4 8
Vardas9 Pavardė9 10 8 6 3 6 4 6 1 7 3 9 8 7 4 3
Vardas10 Pavardė10 7 5 4 8 9 9 2 9 6 6 3 2 1 1 2
Vardas11 Pavardė11 6 4 4 5 8 2 3 10 0 4 9 3 2 2 0
Vardas12 Pavardė12 1 10 2 2 1 7 6 8 3 6 0 7 4 4 8
Vardas13 Pavardė13 6 5 5 5 6 9 2 0 0 5 5 0 10 10 1
Vardas14 Pavardė14 10 10 0 1 9 6 10 8 9 7 4 8 9 4 4
Vardas15 Pavardė15 10 7 6 8 4 10 3 6 9 2 8 9 2 7 5
Vardas16 Pavardė16 0 2 7 2 4 4 10 1 3 7 8 0 6 10 1
Vardas17 Pavardė17 9 0 3 10 2 0 10 4 9 6 6 2 5 8 6
Vardas18 Pavardė18 6 9 2 10 6 10 10 10 4 9 9 9 5 5 10
Vardas19 Pavardė19 10 3 7 1 6 2 4 8 9 0 2 0 9 9 4
Vardas20 Pavardė20 2 4 3 10 6 9 3 1 3 10 5 3 10 8 9
Vardas21 Pavardė21 7 9 0 2 10 10 10 5 1 7 7 7 6 0 4
Vardas22 Pavardė22 4 8 2 8 10 3 5 10 10 9 5 3 10 0 9
Vardas23 Pavardė23 4 10 5 7 7 1 7 8 1 7 9 8 10 9 3
Vardas24 Pavardė24 3 3 3 9 5 3 0 10 2 6 1 5 8 0 4
Vardas25 Pavardė25 7 6 10 7 10 5 9 7 0 3 0 5 6 7 8
