Vardas Pavardė ND1 ND2 ND3 Egz.
Vardas1 Pavardė1 5 2 0 0
Vardas2 Pavardė2 2 3 4 2
Vardas3 Pavardė3 7 6 6 3
Vardas4 Pavardė4 3 6 9 9
Vardas5 Pavardė5 1 3 1 0
Vardas6 Pavardė6 1 9 9 2
Vardas7 Pavardė7 3 2 1 4
Vardas8 Pavardė8 7 0 10 5
Vardas9 Pavardė9 8 8 2 1
Vardas10 Pavardė10 2 9 0 1
Vardas11 Pavardė11 3 1 10 4
Vardas12 Pavardė12 4 7 6 3
Vardas13 Pavardė13 4 3 6 10
Vardas14 Pavardė14 4 9 7 6
Vardas15 Pavardė15 3 4 6 5
Vardas16 Pavardė16 0 3 8 2
Vardas17 Pavardė17 8 6 7 8
Vardas18 Pavardė18 4 5 3 10
Vardas19 Pavardė19 0 0 2 4
Vardas20 Pavardė20 9 10 10 10
Vardas21 Pavardė21 6 10 3 0
Vardas22 Pavardė22 5 10 8 10
Vardas23 Pavardė23 5 9 6 0
Vardas24 Pavardė24 9 2 5 7
Vardas25 Pavardė25 1 8 6 7
Vardas26 Pavardė26 4 4 3 1
Vardas27 Pavardė27 3 0 7 6
Vardas28 Pavardė28 1 10 9 10
Vardas29 Pavardė29 5 8 7 8
Vardas30 Pavardė30 5 1 10 2
Vardas31 Pavardė31 10 7 7 2
Vardas32 Pavardė32 10 1 2 6
Vardas33 Pavardė33 8 1 4 1
Vardas34 Pavardė34 0 3 2 10
Vardas35 Pavardė35 4 7 0 3
Vardas36 Pavardė36 2 5 4 6
Vardas37 Pavardė37 9 2 8 6
Vardas38 Pavardė38 1 0 10 6
Vardas39 Pavardė39 4 10 10 5
Vardas40 Pavardė40 3 4 0 10
Vardas41 Pavardė41 3 0 1 7
Vardas42 Pavardė42 10 9 3 0
Vardas43 Pavardė43 9 8 8 7
Vardas44 Pavardė44 6 10 10 5
Vardas45 Pavardė45 4 0 5 7
Vardas46 Pavardė46 5 10 9 10
Vardas47 Pavardė47 9 0 3 7
Vardas48 Pavardė48 7 7 4 0
Vardas49 Pavardė49 5 2 4 1
Vardas50 Pavardė50 9 10 6 0
Vardas51 Pavardė51 8 1 2 5
Vardas52 Pavardė52 1 5 0 8
Vardas53 Pavardė53 7 10 4 10
Vardas54 Pavardė54 4 7 8 1
Vardas55 Pavardė55 10 4 5 8
Vardas56 Pavardė56 3 3 2 6
Vardas57 Pavardė57 0 5 7 8
Vardas58 Pavardė58 3 2 6 1
Vardas59 Pavardė59 5 6 4 8
Vardas60 Pavardė60 1 7 6 8
Vardas61 Pavardė61 5 7 10 5
Vardas62 Pavardė62 8 7 5 7
Vardas63 Pavardė63 5 4 7 4
Vardas64 Pavardė64 5 4 3 7
Vardas65 Pavardė65 3 8 0 10
Vardas66 Pavardė66 10 10 5 9
Vardas67 Pavardė67 4 2 0 0
Vardas68 Pavardė68 4 8 4 0
Vardas69 Pavardė69 3 3 10 10
Vardas70 Pavardė70 3 10 3 9
Vardas71 Pavardė71 2 5 0 2
Vardas72 Pavardė72 6 3 6 7
Vardas73 Pavardė73 2 10 6 8
Vardas74 Pavardė74 1 10 7 10
Vardas75 Pavardė75 4 1 5 8
Vardas76 Pavardė76 4 6 10 10
Vardas77 Pavardė77 10 7 1 8
Vardas78 Pavardė78 10 0 5 0
Vardas79 Pavardė79 8 5 3 6
Vardas80 Pavardė80 0 2 6 2
Vardas81 Pavardė81 2 0 7 2
Vardas82 Pavardė82 7 6 6 8
Vardas83 Pavardė83 10 6 9 3
Vardas84 Pavardė84 9 6 4 7
Vardas85 Pavardė85 8 9 0 5
Vardas86 Pavardė86 3 2 10 3
Vardas87 Pavardė87 10 2 1 7
Vardas88 Pavardė88 8 9 9 6
Vardas89 Pavardė89 8 2 8 2
Vardas90 Pavardė90 10 9 10 7
Vardas91 Pavardė91 1 8 0 8
Vardas92 Pavardė92 10 10 7 10
Vardas93 Pavardė93 2 1 8 4
Vardas94 Pavardė94 3 3 0 8
Vardas95 Pavardė95 2 3 5 7
Vardas96 Pavardė96 4 7 2 10
Vardas97 Pavardė97 4 8 7 6
Vardas98 Pavardė98 5 4 8 7
Vardas99 Pavardė99 0 1 7 4
Vardas100 Pavardė100 4 0 7 0
Vardas101 Pavardė101 10 9 2 4
Vardas102 Pavardė102 6 7 5 0
Vardas103 Pavardė103 2 10 4 6
Vardas104 Pavardė104 8 5 6 3
Vardas105 Pavardė105 7 1 3 5
Vardas106 Pavardė106 6 4 2 0
Vardas107 Pavardė107 8 1 0 7
Vardas108 Pavardė108 4 1 2 1
Vardas109 Pavardė109 3 3 10 7
Vardas110 Pavardė110 8 3 9 8
Vardas111 Pavardė111 7 9 8 10
Vardas112 Pavardė112 4 8 1 5
Vardas113 Pavardė113 9 5 1 5
Vardas114 Pavardė114 9 6 7 1
Vardas115 Pavardė115 2 4 0 6
Vardas116 Pavardė116 6 1 9 2
Vardas117 Pavardė117 9 0 4 9
Vardas118 Pavardė118 4 8 3 5
Vardas119 Pavardė119 10 4 5 6
Vardas120 Pavardė120 0 7 3 2
Vardas121 Pavardė121 6 4 3 9
Vardas122 Pavardė122 4 4 9 10
Vardas123 Pavardė123 8 6 6 7
Vardas124 Pavardė124 1 5 2 2
Vardas125 Pavardė125 9 5 6 7
Vardas126 Pavardė126 3 2 0 6
Vardas127 Pavardė127 7 8 1 9
Vardas128 Pavardė128 1 10 9 0
Vardas129 Pavardė129 0 8 7 4
Vardas130 Pavardė130 8 9 4 8
Vardas131 Pavardė131 1 4 10 2
Vardas132 Pavardė132 4 10 9 8
Vardas133 Pavardė133 9 5 1 4
Vardas134 Pavardė134 9 5 5 1
Vardas135 Pavardė135 2 1 3 2
Vardas136 Pavardė136 3 9 7 3
Vardas137 Pavardė137 7 9 9 4
Vardas138 Pavardė138 2 4 4 2
Vardas139 Pavardė139 4 9 5 3
Vardas140 Pavardė140 9 4 8 7
Vardas141 Pavardė141 9 8 7 7
Vardas142 Pavardė142 9 10 3 2
Vardas143 Pavardė143 2 0 4 6
Vardas144 Pavardė144 2 1 7 4
Vardas145 Pavardė145 8 9 2 2
Vardas146 Pavardė146 1 2 2 2
Vardas147 Pavardė147 3 7 10 4
Vardas148 Pavardė148 6 9 3 10
Vardas149 Pavardė149 4 0 2 4
Vardas150 Pavardė150 5 5 4 8
Vardas151 Pavardė151 9 10 9 2
Vardas152 Pavardė152 3 4 4 1
Vardas153 Pavardė153 7 5 9 7
Vardas154 Pavardė154 5 2 4 0
Vardas155 Pavardė155 1 0 10 1
Vardas156 Pavardė156 9 1 8 1
Vardas157 Pavardė157 7 4 10 7
Vardas158 Pavardė158 5 7 9 3
Vardas159 Pavardė159 7 4 8 9
Vardas160 Pavardė160 10 9 1 6
Vardas161 Pavardė161 6 9 5 0
Vardas162 Pavardė162 8 5 5 2
Vardas163 Pavardė163 3 1 10 4
Vardas164 Pavardė164 0 6 9 1
Vardas165 Pavardė165 0 8 2 3
Vardas166 Pavardė166 1 8 9 6
Vardas167 Pavardė167 9 2 4 1
Vardas168 Pavardė168 8 9 8 5
Vardas169 Pavardė169 6 10 7 8
Vardas170 Pavardė170 0 2 4 9
Vardas171 Pavardė171 0 1 10 6
Vardas172 Pavardė172 1 1 4 1
Vardas173 Pavardė173 4 3 6 1
Vardas174 Pavardė174 1 3 1 7
Vardas175 Pavardė175 10 0 6 7
Vardas176 Pavardė176 10 10 3 5
Vardas177 Pavardė177 1 9 6 9
Vardas178 Pavardė178 5 9 5 2
Vardas179 Pavardė179 9 3 6 4
Vardas180 Pavardė180 5 5 5 6
Vardas181 Pavardė181 4 3 10 5
Vardas182 Pavardė182 4 8 3 2
Vardas183 Pavardė183 1 8 2 7
Vardas184 Pavardė184 1 9 7 10
Vardas185 Pavardė185 2 0 1 1
Vardas186 Pavardė186 2 4 10 0
Vardas187 Pavardė187 8 2 4 0
Vardas188 Pavardė188 9 6 2 4
Vardas189 Pavardė189 8 1 3 9
Vardas190 Pavardė190 8 10 5 0
Vardas191 Pavardė191 8 4 2 5
Vardas192 Pavardė192 5 10 6 2
Vardas193 Pavardė193 0 8 10 7
Vardas194 Pavardė194 4 8 4 0
Vardas195 Pavardė195 3 2 8 8
Vardas196 Pavardė196 8 4 4 7
Vardas197 Pavardė197 8 10 1 5
Vardas198 Pavardė198 3 6 8 1
Vardas199 Pavardė199 9 0 0 2
Vardas200 Pavardė200 4 4 7 3
Vardas201 Pavardė201 6 5 5 10
Vardas202 Pavardė202 9 1 7 10
Vardas203 Pavardė203 4 0 3 3
Vardas204 Pavardė204 10 0 8 2
Vardas205 Pavardė205 5 5 4 4
Vardas206 Pavardė206 4 6 5 1
Vardas207 Pavardė207 8 8 1 7
Vardas208 Pavardė208 1 10 5 5
Vardas209 Pavardė209 0 9 7 5
Vardas210 Pavardė210 10 5 8 2
Vardas211 Pavardė211 6 3 10 6
Vardas212 Pavardė212 5 6 0 8
Vardas213 Pavardė213 0 4 3 5
Vardas214 Pavardė214 2 7 5 0
Vardas215 Pavardė215 7 10 5 6
Vardas216 Pavardė216 10 6 2 2
Vardas217 Pavardė217 3 4 5 7
Vardas218 Pavardė218 4 3 9 10
Vardas219 Pavardė219 5 9 9 3
Vardas220 Pavardė220 4 7 5 5
Vardas221 Pavardė221 2 2 5 6
Vardas222 Pavardė222 2 3 5 8
Vardas223 Pavardė223 6 7 7 7
Vardas224 Pavardė224 10 2 2 5
Vardas225 Pavardė225 6 10 3 6
Vardas226 Pavardė226 4 8 4 6
Vardas227 Pavardė227 9 6 3 1
Vardas228 Pavardė228 9 1 5 1
Vardas229 Pavardė229 2 7 3 2
Vardas230 Pavardė230 2 3 6 0
Vardas231 Pavardė231 8 7 2 2
Vardas232 Pavardė232 8 3 0 4
Vardas233 Pavardė233 8 4 6 4
Vardas234 Pavardė234 7 4 3 6
Vardas235 Pavardė235 1 5 9 1
Vardas236 Pavardė236 4 9 7 5
Vardas237 Pavardė237 10 10 7 9
Vardas238 Pavardė238 8 10 10 9
Vardas239 Pavardė239 2 3 3 6
Vardas240 Pavardė240 10 9 2 9
Vardas241 Pavardė241 6 5 1 9
Vardas242 Pavardė242 3 6 2 3
Vardas243 Pavardė243 0 6 1 7
Vardas244 Pavardė244 2 2 10 10
Vardas245 Pavardė245 4 7 7 9
Vardas246 Pavardė246 8 6 2 2
Vardas247 Pavardė247 9 2 8 10
Vardas248 Pavardė248 1 5 8 7
Vardas249 Pavardė249 3 2 5 6
Vardas250 Pavardė250 0 1 3 1
Vardas251 Pavardė251 10 1 5 9
Vardas252 Pavardė252 10 10 1 0
Vardas253 Pavardė253 3 2 9 1
Vardas254 Pavardė254 5 9 0 9
Vardas255 Pavardė255 10 2 2 1
Vardas256 Pavardė256 0 3 8 10
Vardas257 Pavardė257 6 10 3 3
Vardas258 Pavardė258 9 7 0 6
Vardas259 Pavardė259 4 3 7 5
Vardas260 Pavardė260 8 7 7 9
Vardas261 Pavardė261 6 5 2 9
Vardas262 Pavardė262 10 10 4 6
Vardas263 Pavardė263 4 1 9 1
Vardas264 Pavardė264 0 2 8 5
Vardas265 Pavardė265 2 8 7 4
Vardas266 Pavardė266 4 0 8 10
Vardas267 Pavardė267 10 6 5 2
Vardas268 Pavardė268 0 3 0 6
Vardas269 Pavardė269 2 9 10 10
Vardas270 Pavardė270 1 8 6 7
Vardas271 Pavardė271 10 6 10 4
Vardas272 Pavardė272 10 5 2 3
Vardas273 Pavardė273 2 10 4 0
Vardas274 Pavardė274 6 1 3 6
Vardas275 Pavardė275 10 3 3 8
Vardas276 Pavardė276 10 9 9 9
Vardas277 Pavardė277 9 8 7 7
Vardas278 Pavardė278 0 7 7 10
Vardas279 Pavardė279 7 9 0 6
Vardas280 Pavardė280 0 2 0 7
Vardas281 Pavardė281 1 10 9 2
Vardas282 Pavardė282 0 1 8 5
Vardas283 Pavardė283 8 0 2 5
Vardas284 Pavardė284 9 3 0 8
Vardas285 Pavardė285 2 5 9 10
Vardas286 Pavardė286 9 10 5 1
Vardas287 Pavardė287 5 0 8 10
Vardas288 Pavardė288 10 10 0 3
Vardas289 Pavardė289 10 2 5 1
Vardas290 Pavardė290 6 8 2 4
Vardas291 Pavardė291 9 4 0 6
Vardas292 Pavardė292 9 6 9 6
Vardas293 Pavardė293 1 8 5 9
Vardas294 Pavardė294 2 10 8 6
Vardas295 Pavardė295 3 1 1 7
Vardas296 Pavardė296 10 8 7 0
Vardas297 Pavardė297 3 3 3 3
Vardas298 Pavardė298 9 6 2 0
Vardas299 Pavardė299 5 1 3 2
Vardas300 Pavardė300 3 3 5 0
Vardas301 Pavardė301 3 0 8 8
Vardas302 Pavardė302 3 0 7 0
Vardas303 Pavardė303 7 6 2 9
Vardas304 Pavardė304 7 6 4 5
Vardas305 Pavardė305 9 10 10 4
Vardas306 Pavardė306 6 6 3 3
Vardas307 Pavardė307 0 2 3 4
Vardas308 Pavardė308 0 2 7 1
Vardas309 Pavardė309 4 0 8 7
Vardas310 Pavardė310 10 2 3 3
Vardas311 Pavardė311 7 8 5 3
Vardas312 Pavardė312 1 7 8 1
Vardas313 Pavardė313 1 10 10 0
Vardas314 Pavardė314 3 4 4 0
Vardas315 Pavardė315 6 4 1 9
Vardas316 Pavardė316 7 3 1 1
Vardas317 Pavardė317 0 8 2 4
Vardas318 Pavardė318 10 7 2 9
Vardas319 Pavardė319 10 1 5 8
Vardas320 Pavardė320 1 9 8 1
Vardas321 Pavardė321 0 1 3 3
Vardas322 Pavardė322 8 3 5 1
Vardas323 Pavardė323 7 8 3 3
Vardas324 Pavardė324 7 7 9 10
Vardas325 Pavardė325 9 10 9 6
Vardas326 Pavardė326 1 5 10 3
Vardas327 Pavardė327 1 0 0 8
Vardas328 Pavardė328 7 9 5 9
Vardas329 Pavardė329 10 4 0 5
Vardas330 Pavardė330 2 0 0 1
Vardas331 Pavardė331 3 3 3 2
Vardas332 Pavardė332 6 3 0 6
Vardas333 Pavardė333 5 7 6 10
Vardas334 Pavardė334 3 3 7 8
Vardas335 Pavardė335 0 4 1 8
Vardas336 Pavardė336 3 8 4 9
Vardas337 Pavardė337 7 10 6 6
Vardas338 Pavardė338 4 1 5 4
Vardas339 Pavardė339 9 5 3 8
Vardas340 Pavardė340 2 3 2 3
Vardas341 Pavardė341 3 0 7 10
Vardas342 Pavardė342 2 4 3 5
Vardas343 Pavardė343 4 9 1 1
Vardas344 Pavardė344 9 3 10 5
Vardas345 Pavardė345 5 8 4 3
Vardas346 Pavardė346 9 4 5 2
Vardas347 Pavardė347 3 4 2 2
Vardas348 Pavardė348 6 10 0 9
Vardas349 Pavardė349 0 3 4 7
Vardas350 Pavardė350 8 3 2 1
Vardas351 Pavardė351 7 3 3 6
Vardas352 Pavardė352 1 9 9 0
Vardas353 Pavardė353 0 2 4 4
Vardas354 Pavardė354 10 5 1 8
Vardas355 Pavardė355 7 4 5 6
Vardas356 Pavardė356 6 8 3 6
Vardas357 Pavardė357 0 7 6 3
